Gene,Clinical_Feature,Correlation,Abs_Correlation
ENSG00000196550.10,gleason_score,0.39445891976356506,0.39445891976356506
ENSG00000229056.2,gleason_score,-0.38917163014411926,0.38917163014411926
ENSG00000135451.13,gleason_score,0.38894984126091003,0.38894984126091003
ENSG00000115163.15,gleason_score,0.3854520618915558,0.3854520618915558
ENSG00000158402.20,gleason_score,0.3837193548679352,0.3837193548679352
ENSG00000112984.12,gleason_score,0.37806814908981323,0.37806814908981323
ENSG00000156463.18,gleason_score,-0.37777918577194214,0.37777918577194214
ENSG00000117399.14,gleason_score,0.37697434425354004,0.37697434425354004
ENSG00000165304.8,gleason_score,0.37615934014320374,0.37615934014320374
ENSG00000088325.16,gleason_score,0.3760785758495331,0.3760785758495331
ENSG00000270388.1,race,-0.37575533986091614,0.37575533986091614
ENSG00000188610.12,gleason_score,0.37356671690940857,0.37356671690940857
ENSG00000164611.13,gleason_score,0.3662504553794861,0.3662504553794861
ENSG00000102384.13,gleason_score,0.36264073848724365,0.36264073848724365
ENSG00000076382.17,gleason_score,0.3616620600223541,0.3616620600223541
ENSG00000237649.8,gleason_score,0.3607848882675171,0.3607848882675171
ENSG00000127564.17,gleason_score,0.3591415286064148,0.3591415286064148
ENSG00000137807.16,gleason_score,0.35898980498313904,0.35898980498313904
ENSG00000169679.15,gleason_score,0.3573942184448242,0.3573942184448242
ENSG00000129810.15,gleason_score,0.356616735458374,0.356616735458374
ENSG00000197635.11,gleason_score,-0.35586628317832947,0.35586628317832947
ENSG00000173894.11,gleason_score,0.35568636655807495,0.35568636655807495
ENSG00000120915.14,gleason_score,-0.3556189239025116,0.3556189239025116
ENSG00000278023.7,gleason_score,0.3555941581726074,0.3555941581726074
ENSG00000071539.14,gleason_score,0.35544297099113464,0.35544297099113464
ENSG00000105011.9,gleason_score,0.35494616627693176,0.35494616627693176
ENSG00000142945.13,gleason_score,0.35483837127685547,0.35483837127685547
ENSG00000077152.11,gleason_score,0.3547166585922241,0.3547166585922241
ENSG00000111665.12,gleason_score,0.3527735471725464,0.3527735471725464
ENSG00000163808.17,gleason_score,0.35229307413101196,0.35229307413101196
ENSG00000099337.5,gleason_score,-0.3516642153263092,0.3516642153263092
ENSG00000088305.18,gleason_score,0.351182758808136,0.351182758808136
ENSG00000215784.6,gleason_score,0.3511536121368408,0.3511536121368408
ENSG00000166851.15,gleason_score,0.3506488502025604,0.3506488502025604
ENSG00000100526.20,gleason_score,0.34993278980255127,0.34993278980255127
ENSG00000232177.1,race,-0.34952065348625183,0.34952065348625183
ENSG00000099960.13,gleason_score,-0.34849706292152405,0.34849706292152405
ENSG00000151725.12,gleason_score,0.34774428606033325,0.34774428606033325
ENSG00000196584.3,gleason_score,0.34621885418891907,0.34621885418891907
ENSG00000168539.4,gleason_score,-0.34545204043388367,0.34545204043388367
ENSG00000126787.13,gleason_score,0.34522172808647156,0.34522172808647156
ENSG00000137135.18,gleason_score,0.3445787727832794,0.3445787727832794
ENSG00000134575.13,gleason_score,-0.3439127504825592,0.3439127504825592
ENSG00000171848.16,gleason_score,0.3437383770942688,0.3437383770942688
ENSG00000167617.3,gleason_score,-0.3419974744319916,0.3419974744319916
ENSG00000122966.17,gleason_score,0.3417491912841797,0.3417491912841797
ENSG00000058799.15,gleason_score,-0.3414621949195862,0.3414621949195862
ENSG00000129255.16,gleason_score,-0.33964741230010986,0.33964741230010986
ENSG00000138180.16,gleason_score,0.33932358026504517,0.33932358026504517
ENSG00000121152.10,gleason_score,0.3391982614994049,0.3391982614994049
ENSG00000075218.19,gleason_score,0.3390469551086426,0.3390469551086426
ENSG00000106462.11,gleason_score,0.33870211243629456,0.33870211243629456
ENSG00000051341.14,gleason_score,0.33846116065979004,0.33846116065979004
ENSG00000167702.13,gleason_score,0.3382905423641205,0.3382905423641205
ENSG00000123485.12,gleason_score,0.33823737502098083,0.33823737502098083
ENSG00000143228.13,gleason_score,0.33818158507347107,0.33818158507347107
ENSG00000146410.12,gleason_score,0.3379670977592468,0.3379670977592468
ENSG00000013810.20,gleason_score,0.33793938159942627,0.33793938159942627
ENSG00000169607.13,gleason_score,0.33793291449546814,0.33793291449546814
ENSG00000165490.13,gleason_score,0.3378693759441376,0.3378693759441376
